CreditScore,Geography,Gender,Age,Balance,HasCrCard,EstimatedSalary,Exited
844,France,Male,40,113348.14,1,31904.31,1
671,Germany,Male,51,96891.46,1,176403.33,1
615,France,Male,34,83503.11,1,73124.53,1
578,France,Male,45,148600.91,1,143397.14,1
754,Spain,Male,39,157691.98,1,133600.89,1
602,France,Female,56,115895.22,1,4176.17,1
567,France,Female,47,0.0,0,110900.43,1
537,Germany,Female,46,100727.5,0,140857.76,1
753,Germany,Female,46,113909.69,1,92320.37,1
704,France,Male,31,132084.66,1,54474.48,1
516,France,Female,46,104947.72,1,115789.25,1
567,France,Male,54,96402.96,0,52035.29,1
576,Germany,Male,44,119530.52,1,119056.68,1
742,France,Female,60,0.0,1,13161.66,1
629,Germany,Male,40,121647.54,1,64849.74,1
447,France,Male,43,0.0,1,33879.26,1
847,France,Male,51,97565.74,0,144184.06,1
683,Spain,Male,56,50911.21,0,97629.31,1
524,France,Male,52,87894.26,1,173899.42,1
467,Germany,Male,28,126315.26,1,32349.29,1
597,Spain,Male,43,85162.26,0,5104.08,1
588,France,Female,36,0.0,1,92536.0,1
747,Spain,Male,41,0.0,1,32430.94,1
720,Germany,Male,46,97042.6,1,133516.51,1
637,Germany,Male,50,126345.55,0,17323.0,1
789,Germany,Male,43,119654.44,0,148412.24,1
518,Spain,Male,50,0.0,0,107112.25,1
628,Spain,Male,50,0.0,0,144366.83,1
535,Germany,Male,38,127475.24,0,60775.76,1
395,Germany,Female,34,106011.59,1,17376.57,1
712,Germany,Female,40,109308.79,1,120158.72,1
662,France,Female,36,166909.2,1,138871.12,1
586,Germany,Female,36,103700.69,1,194072.56,1
648,Germany,Female,51,116574.84,1,4121.04,1
642,France,Male,48,118317.27,0,78702.98,1
606,Germany,Male,48,132403.56,0,36091.91,1
836,Spain,Male,57,101247.06,1,37141.62,1
805,Germany,Male,50,130023.38,1,62989.82,1
496,Spain,Female,44,179356.28,1,2919.21,1
749,Germany,Female,29,137059.05,1,102975.72,1
767,Germany,Female,45,132746.2,1,26628.88,1
626,France,Male,38,141074.59,1,52795.56,1
529,France,Female,43,123815.86,1,78463.99,1
705,Germany,Female,46,115518.07,0,76544.9,1
683,Germany,Female,43,115888.04,1,117349.19,1
753,Germany,Male,44,138076.47,1,15523.09,1
664,France,Male,54,0.0,1,162719.69,1
587,Germany,Male,35,121863.61,1,23481.69,1
648,Germany,Female,40,139973.65,1,667.66,1
683,Spain,Male,29,133702.89,1,55582.54,1
428,Germany,Female,40,129248.11,1,72876.43,1
576,France,Female,41,112609.91,0,191035.18,1
710,Germany,Female,46,120530.34,1,166586.99,1
624,France,Male,42,145155.37,1,72169.95,1
510,Germany,Male,31,113688.63,1,33099.41,1
526,France,Male,52,93590.47,0,21228.71,1
697,Germany,Female,38,132591.36,1,7387.8,1
850,Germany,Female,66,127120.62,0,118929.64,1
731,France,Female,52,0.0,1,24998.75,1
621,Germany,Male,46,141078.37,0,34580.8,1
565,Germany,Female,47,139756.12,1,165849.49,1
740,Germany,Male,40,114318.78,1,129333.69,1
614,Germany,Female,35,128100.28,0,69454.24,1
697,Germany,Male,43,103409.16,1,66893.28,1
573,Spain,Male,56,154669.77,0,115462.27,1
704,Germany,Female,39,124640.51,1,116511.12,1
645,Spain,Male,44,113755.78,1,149756.71,1
669,Spain,Male,51,88827.53,0,85250.77,1
689,Germany,Female,30,136650.89,1,41865.72,1
785,France,Female,47,122031.55,1,33823.5,1
760,France,Male,38,162888.73,1,91098.76,1
497,France,Female,29,85646.81,0,63233.02,1
850,Germany,Female,36,143644.16,1,22102.25,1
475,France,Male,40,160818.08,0,169642.13,1
742,Germany,Female,41,92805.72,0,73743.95,1
592,France,Male,54,0.0,1,28737.71,1
707,Spain,Female,35,56674.48,1,17987.4,1
710,Spain,Female,51,93656.95,0,141400.51,1
622,Germany,Male,42,115766.26,0,72155.85,1
651,France,Male,45,165901.59,1,23054.51,1
534,France,Female,49,0.0,1,13566.48,1
705,Germany,Female,44,106731.58,1,137419.87,1
636,Spain,Female,33,0.0,1,92277.47,1
722,France,Female,47,88011.4,1,90655.94,1
760,France,Female,51,100946.71,0,179614.8,1
569,Germany,Male,35,109196.66,1,109393.19,1
608,Spain,Female,63,139529.93,1,175696.16,1
482,Germany,Female,48,69329.47,0,102640.52,1
606,Germany,Female,41,132670.53,1,156476.36,1
551,France,Male,52,0.0,0,63584.55,1
623,France,Male,45,0.0,1,196533.72,1
614,France,Male,50,137104.47,1,127166.49,1
598,France,Male,60,0.0,1,197727.14,1
698,Spain,Male,45,164450.94,1,141970.02,1
780,Germany,Female,37,95196.26,1,126310.39,1
691,France,Female,60,101070.69,1,177355.8,1
692,Germany,Female,41,130701.29,1,59354.24,1
716,Germany,Male,66,121411.9,0,10070.4,1
617,Germany,Female,58,119024.75,1,35199.24,1
622,Germany,Female,58,116922.25,1,120415.61,1
648,Spain,Female,56,157559.59,1,140991.23,1
795,Spain,Female,56,0.0,1,35418.69,1
749,France,Male,40,139290.41,1,182855.42,1
794,France,Female,62,123681.32,1,173586.63,1
460,Germany,Female,40,119507.58,1,91560.63,1
587,Germany,Female,45,134980.74,1,123309.57,1
382,Spain,Male,36,0.0,1,179540.73,1
625,France,Female,51,136294.97,1,38867.46,1
638,Germany,Female,41,144326.09,1,73979.85,1
575,Spain,Male,52,123925.23,0,111342.66,1
630,Germany,Male,29,131354.39,0,9324.31,1
602,Germany,Female,53,98268.84,0,45038.29,1
632,Spain,Male,31,136556.44,1,82152.83,1
734,Spain,Female,43,55853.33,0,94811.85,1
600,France,Female,49,0.0,0,148087.88,1
634,Germany,Female,59,95727.05,0,97939.4,1
555,Germany,Male,62,119817.33,0,43507.1,1
707,Germany,Female,48,105086.74,1,180344.69,1
826,France,Female,49,0.0,0,178709.98,1
612,Germany,Male,44,115163.38,1,97677.52,1
606,France,Male,37,82373.94,0,172526.9,1
735,Germany,Female,43,98807.45,0,184570.04,1
588,France,Male,44,154409.74,1,49324.03,1
659,France,Male,29,123192.12,1,56971.41,1
646,France,Female,46,0.0,1,93251.42,1
747,Germany,Male,37,135776.36,1,85470.45,1
507,Germany,Male,31,134237.07,1,166423.66,1
715,France,Female,38,118590.41,1,5684.17,1
756,Germany,Female,39,100717.85,1,73406.04,1
745,Germany,Male,45,117231.63,1,122381.02,1
606,Spain,Male,35,0.0,1,106837.06,1
710,Germany,Female,41,149155.53,1,42131.26,1
600,Germany,Male,43,133379.41,1,177378.66,1
681,Germany,Female,44,91115.76,0,24208.84,1
609,Germany,Female,71,113317.1,1,108258.22,1
633,France,Male,40,150578.0,0,34670.62,1
520,France,Female,39,73493.17,0,109626.13,1
535,Germany,Male,40,111756.5,1,8128.32,1
641,France,Female,52,0.0,1,90964.54,1
700,Germany,Female,40,148571.07,1,189826.96,1
705,Spain,Male,44,184552.12,1,68860.3,1
512,Germany,Male,41,122403.24,0,37439.9,1
705,Germany,Female,64,153469.26,0,146573.66,1
660,Germany,Female,39,135134.99,1,173683.0,1
705,France,Female,37,0.0,1,13935.53,1
714,France,Female,51,88308.87,0,5862.53,1
510,Germany,Female,44,123070.89,1,28461.29,1
547,Germany,Male,41,151191.31,1,175295.89,1
551,Germany,Male,50,121399.98,0,84508.44,1
550,France,Male,38,140278.99,1,171457.06,1
610,Germany,Male,50,113957.01,1,196526.55,1
732,Germany,Female,45,98792.4,1,81491.7,1
619,France,Female,42,0.0,1,101348.88,1
